CNPJ,NOME_FANTASIA,RAZAO_SOCIAL,CIDADE,ESTADO,LOGRADOURO,NUMERO,BAIRRO,CEP,DT_ABERTURA,PORTE,FAIXA_PORTE,FAIXA_FATURAMENTO,VL_CAPITAL_SOCIAL,ATIVIDADE_PRINCIPAL_0,SOCIOS_CARGO,DOMINIOS,LINKEDIN,TELEFONE_GOOGLE_PRO,TELEFONE_PRO_DECISOR,TELEFONE_PRO,EMAILS
12.978.172/0001-13,Não Informado,MOYA E MOTTA SOCIEDADE DE ADVOGADOS,SANTO ANDRE,SP,PRAÇA DO CARMO,71,CENTRO,09010-020,19/11/2010,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 100.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,ANDRE NIETO MOYA - (SÓCIO-ADMINISTRADOR) | EDUARDO MOTTA JUNIOR - (SÓCIO-ADMINISTRADOR),https://moyaemotta.com.br,,,(11)992378549,(11)989475821 | (11)44336819 | (11)44336825 | (11)44336848 | (11)44336806,galvao73@gmail.com
13.090.752/0002-13,ANJOS RAMOS SOCIEDADE DE ADVOGADOS,ANJOS RAMOS SOCIEDADE DE ADVOGADOS,PRESIDENTE PRUDENTE,SP,RUA ULYSSES RAMOS DE CASTRO,277,BAIRRO DO BOSQUE,19010-110,21/12/2011,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 10.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,ARNALDO DOS ANJOS RAMOS - (SÓCIO-ADMINISTRADOR) | MARIANA DOS ANJOS RAMOS CARVALHO E SILVA - (SÓCIO-ADMINISTRADOR),"https://anjosramos.com.br, http://www.anjosramos.com.br/",,(18) 39011009,(11)985078726 | (19)997742005,(11)33927206 | (11)33923570 | (11)33924720 | (18)39011009,a.arnaldo@anjosramos.com.br | ricardo@anjosramos.com.br | juliana.mouro@anjosramos.com.br | juliana@anjosramos.com.br | rafaela@anjosramos.com.br | bruna@anjosramos.com.br | luiz@anjosramos.com.br | contato@anjosramos.com.br | arnaldo@anjosramos.com.br | mariana@anjosramos.com.br | anacarolina@anjosramos.com.br | adriana@anjosramos.com.br | andre@anjosramos.com.br | luana@anjosramos.com.br | carlos@anjosramos.com.br | pedro@anjosramos.com.br | diego@anjosramos.com.br | raphael.cavalvante@anjosramos.com.br | rafael@anjosramos.com.br | renato@anjosramos.com.br | isabela@anjosramos.com.br | vitor@anjosramos.com.br | vinicius@anjosramos.com.br | viviane@anjosramos.com.br | ti0123@anjosramos.com.br | wallace@anjosramos.com.br | mariana.gois@anjosramos.com.br | evandro@anjosramos.com.br | claudia@anjosramos.com.br | jaqueline@anjosramos.com.br | recepcao@anjosramos.com.br | secretaria@anjosramos.com.br | bruno@anjosramos.com.br | financeiro@anjosramos.com.br | tamires@anjosramos.com.br | rafael.yamashita@anjosramos.com.br
13.097.615/0001-20,Não Informado,"RENNO, PENTEADO, SAMPAIO ADVOGADOS",RIO DE JANEIRO,RJ,PRAIA DE BOTAFOGO,228,BOTAFOGO,22250-040,24/11/2010,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 10.400,00",6911701 - SERVIÇOS ADVOCATÍCIOS,ADRIANO DE CARVALHO UITERWAAL - (SÓCIO COM CAPITAL) | FERNANDO DE SOUZA PENTEADO - (SÓCIO-ADMINISTRADOR) | CARLOS AFFONSO PEREIRA DE SOUZA - (SÓCIO COM CAPITAL) | CAROLINA BARROS FIDALGO - (SÓCIO COM CAPITAL) | JOANA OLIVEIRA RIBEIRO DA COSTA - (SÓCIO COM CAPITAL) | MARILIA DOS SANTOS DIAS RENNO - (SÓCIO-ADMINISTRADOR) | PATRICIA REGINA PINHEIRO SAMPAIO - (SÓCIO COM CAPITAL) | CARLOS GUSTAVO RODRIGUES REIS - (SÓCIO COM CAPITAL) | FABIANA DE SOUZA GONCALVES TOPINI - (SÓCIO COM CAPITAL) | OCTAVIO FRAGATA MARTINS DE BARROS - (SÓCIO COM CAPITAL) | BERNARDO LUCAS JOANES BARBOSA - (SÓCIO COM CAPITAL) | GUILHERME GONCALVES BOARETO - (SÓCIO COM CAPITAL) | IARA JULIA CAETANO DE AGUIAR - (SÓCIO COM CAPITAL) | LARISSA CAMARGO COSTA - (SÓCIO COM CAPITAL) | RAFAEL DINOA MANN MEDEIROS - (SÓCIO COM CAPITAL) | EMMANUEL BIAR DE SOUZA - (SÓCIO-ADMINISTRADOR) | PEDRO HENRIQUE VILLELA PEDRAS JUNQUEIRA - (SÓCIO COM CAPITAL) | VINICIUS JORAS PADRAO - (SÓCIO COM CAPITAL) | SERGIO VIEIRA BRANCO JUNIOR - (SÓCIO COM CAPITAL) | RONALDO LEMOS DA SILVA JUNIOR - (SÓCIO COM CAPITAL) | ANA TEREZA MARQUES PARENTE - (SÓCIO COM CAPITAL) | LIDICE MARQUES DA SILVA XAVIER - (SÓCIO COM CAPITAL) | ALICE FERREIRA MENDES MACHADO - (SÓCIO COM CAPITAL) | LIGIA MERLO MARQUES - (SÓCIO COM CAPITAL) | NICHOLAS DOURADO CALAFIORI CATHARINO - (SÓCIO COM CAPITAL) | LUISA TUPINIQUIM ABREU BLANES DE OLIVEIRA - (SÓCIO COM CAPITAL) | DANIELA LEAL DE MEIRELLES DE ALMEIDA - (SÓCIO COM CAPITAL) | ARTHUR PUMAR MELLO - (SÓCIO COM CAPITAL) | BRUNO CESAR AMORIM NASCIMENTO - (SÓCIO COM CAPITAL) | MICHELLE MARIA FREIRE DE MELO - (SÓCIO COM CAPITAL) | MATHEUS MANTUANI NUNES - (SÓCIO COM CAPITAL) | LOUISE TEIXEIRA JATOBA - (SÓCIO COM CAPITAL) | JOAO VICTOR VIEIRA DE MELO - (SÓCIO COM CAPITAL) | JOANA CAROLINA WESTRUP DE ANDRADE - (SÓCIO COM CAPITAL) | ANA CAROLINA MEIRELLES TAVARES - (SÓCIO COM CAPITAL) | CARLOS HENRIQUE MOURA LOUREIRO MAGLIANO RIBEIRO - (SÓCIO COM CAPITAL) | JOAO VICTOR LOPES MADALENA - (SÓCIO COM CAPITAL),"https://rennopenteado.com.br, http://www.rennopenteado.com.br/",https://www.linkedin.com/company/rennopenteadoadvogados/,(21) 24641665,(11)979700882 | (21)995201313 | (21)981849727 | (21)993103320 | (21)982345306 | (21)988608546 | (21)992734914 | (21)991848253 | (21)988940936 | (21)994990883 | (21)986121632 | (21)994748564 | (21)994720990 | (21)982332816 | (21)993434818 | (21)997441751 | (21)974955343 | (21)998159577 | (11)959085250 | (21)993956567 | (21)979859911 | (21)994456120 | (11)981090991 | (21)992659400 | (21)992121809 | (21)990394819 | (21)999984447 | (21)981873000 | (21)995152112 | (11)981896083 | (21)991386553 | (21)994329119 | (27)997255830 | (21)970884631 | (21)996010620 | (21)998934146 | (21)995137448 | (21)971451189 | (21)998050817,(11)994255087 | (21)998367232 | (11)26491494 | (11)26941494 | (21)24641665,contato@rprsa.com.br
13.114.065/0001-00,Não Informado,DE PAULA SOARES ADVOGADOS ASSOCIADOS,CURITIBA,PR,RUA MARECHAL DEODORO,503,CENTRO,80020-910,08/12/2010,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 2.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,JOSE PEDRO DE PAULA SOARES - (SÓCIO-ADMINISTRADOR) | LARISSA BERRI DE PAULA SOARES - (SÓCIO COM CAPITAL),"http://wsoares.com.br, http://wsoares.com.br/, https://dpsadvogados.com.br",,(41) 33239160,(41)998347875 | (41)998642892 | (41)991415599 | (41)987028157 | (41)991880354,(41)33239160 | (61)32252801 | (86)21078900 | (61)32267186,
13.195.825/0001-50,Não Informado,"BARBOSA, RAIMUNDO, GONTIJO E CAMARA - ADVOGADOS",RIO DE JANEIRO,RJ,RUA VISCONDE DE PIRAJA,572,IPANEMA,22410-002,12/01/2011,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 2.420,00",6911701 - SERVIÇOS ADVOCATÍCIOS,JULIO CESAR DA CUNHA BARBOSA - (SÓCIO-ADMINISTRADOR) | PEDRO HENRIQUE FONSECA RAIMUNDO - (SÓCIO-ADMINISTRADOR) | RENATA DE PAOLI GONTIJO - (SÓCIO-ADMINISTRADOR) | RODRIGO CAMARA DO VALE - (SÓCIO-ADMINISTRADOR) | ANA PAULA DEPPE LEME ANNECHINO - (SÓCIO COM CAPITAL) | ALESSANDRA MUNIZ DE RESENDE SALGADO - (SÓCIO COM CAPITAL) | MARIA SILVIA RESENDE BARROSO - (SÓCIO COM CAPITAL) | RAPHAELA CSETTKEY DOS SANTOS DE ALMEIDA - (SÓCIO COM CAPITAL) | CAROLINA MARTINS MOREIRA ROCHA - (SÓCIO COM CAPITAL) | MARIANA FERREIRA FINEBERG DE ANGELIS - (SÓCIO COM CAPITAL) | BERNARDO DO AMARAL PEDRETE - (SÓCIO COM CAPITAL) | ALINE MENDES COELHO - (SÓCIO COM CAPITAL) | CRISTINA ALVES CORREA JUSTO REIS - (SÓCIO COM CAPITAL) | ANDRE LUIS DUARTE DO AMARAL LISBOA - (SÓCIO COM CAPITAL) | MARIA GABRIELA GARBELOTTI VINHAES DE ARAUJO - (SÓCIO COM CAPITAL) | CAROLINA MOREIRA MIRANDA - (SÓCIO COM CAPITAL) | GABRIEL LOUREIRO ALVES - (SÓCIO COM CAPITAL) | PEDRO LUIZ NASCIMENTO MARTINS - (SÓCIO COM CAPITAL) | JOAO PEDRO DE ABREU VIEIRA COELHO - (SÓCIO COM CAPITAL) | FERNANDA CASTRO BRAGA FREIRE - (SÓCIO COM CAPITAL) | MARIA CLARA DA COSTA NUNES SHARP - (SÓCIO COM CAPITAL) | PRISCILLA LYRIO NIGRO DA SILVA - (SÓCIO COM CAPITAL) | PEDRO HENRIQUE MORITZ STODIECK - (SÓCIO COM CAPITAL) | GIOVANA OLIVEIRA RODRIGUES - (SÓCIO COM CAPITAL) | MONIQUE KELLER COSTA REGO - (SÓCIO COM CAPITAL) | MATTEUS MENDONCA DOS SANTOS LIMA - (SÓCIO COM CAPITAL) | FELIPE ALMEIDA TORRES SHARP DE FREITAS - (SÓCIO COM CAPITAL) | JOAO PEDRO KRONEMBERGER FELIPE - (SÓCIO COM CAPITAL) | VICTOR HUGO DE ATHAYDE MORAIS - (SÓCIO COM CAPITAL),"http://brgch.com.br, https://brgc.com.br, http://brgch.com.br/, https://brzadvogados.com.br",,(21) 32067999,(21)992804083 | (21)991917022 | (21)988913171 | (21)993980062 | (21)997628557 | (21)988943010 | (21)999852195 | (21)987116347 | (21)967478871 | (21)985962971 | (21)992418300 | (21)981739163 | (21)979257609 | (21)971236925 | (21)999730282 | (21)979976586 | (21)982010252 | (21)996680030 | (21)989953550 | (21)994122038 | (21)993236876 | (21)976311990,(21)32067999 | (21)32067950 | (21)34975480,recepcao@brgch.com.br
13.230.764/0001-15,Não Informado,SARTURI E RADAELLI ADVOGADOS ASSOCIADOS,PASSO FUNDO,RS,RUA INDEPENDENCIA,674,CENTRO,99010-040,10/01/2011,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 3.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,LUCIANO ROBERTO SARTURI - (SÓCIO-ADMINISTRADOR) | TIAGO LUIZ RADAELLI - (SÓCIO-ADMINISTRADOR) | FRANCISCO DE OLIVEIRA DE ALMEIDA - (SÓCIO COM CAPITAL),"https://saradvogados.com.br, https://www.saradvogados.com.br/",,(54) 33135081,(84)999227812 | (54)999841411,(54)991779095 | (54)33135081 | (54)33112473 | (54)991993584,
13.424.763/0001-01,BANCO FISCAL DO BRASIL,STURMER & WULFF ADVOCACIA TRIBUTARIA,PORTO ALEGRE,RS,RUA DOUTOR POSSIDONIO CUNHA,641,VILA ASSUNCAO,91900-140,09/03/2011,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 100.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,LUIS ALBERTO BUSS WULFF JUNIOR - (SÓCIO-ADMINISTRADOR) | GIOVANNI STURMER DALLEGRAVE - (SÓCIO-ADMINISTRADOR) | PEDRO WULFF SCHUCH - (SÓCIO-ADMINISTRADOR),https://bancofiscal.com.br,https://www.linkedin.com/company/banco-fiscal,,(51)997014653 | (53)981361569 | (51)997903580,(51)40072566 | (51)30242164 | (51)30246867,contato@bancofiscal.com.br | larissa@bancofiscal.com.br
13.537.601/0001-80,Não Informado,A. RODRIGUES - SOCIEDADE DE ADVOGADOS,SAO PAULO,SP,AVENIDA MARQUES DE SAO VICENTE,446,VARZEA DA BARRA FUNDA,01139-000,24/02/2011,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 30.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,APARECIDO RODRIGUES - (SÓCIO-ADMINISTRADOR) | SAMUEL GONCALVES RODRIGUES - (SÓCIO SEM CAPITAL) | RENATO MORRO FERNANDES - (SÓCIO SEM CAPITAL) | ALINE GONCALVES RODRIGUES GOMES - (SÓCIO SEM CAPITAL),"https://arodrigues.adv.br, http://www.arodrigues.adv.br/",https://www.linkedin.com/company/arodriguesadv/,(11) 26194010,(14)997617010 | (16)997182119 | (14)981159968 | (14)981169719,(11)986680287 | (11)970510298 | (11)33925533 | (11)26194010 | (16)32341837 | (14)34543583 | (14)34221258 | (48)40421480,juliana.alves@arodrigues.adv.br | natalia.santos@arodrigues.adv.br | saopaulo@arodrigues.adv.br | contato@arodrigues.adv.br | financeiro@arodrigues.adv.br | a.rodriguesr@uol.com.br
13.619.483/0001-59,Não Informado,"TEPEDINO,  BEREZOWSKI E POPPA SOCIEDADE DE ADVOGADOS",SAO PAULO,SP,AVENIDA PAULISTA,283,BELA VISTA,01311-000,20/04/2011,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 255.453,00",6911701 - SERVIÇOS ADVOCATÍCIOS,ALUISIO CABIANCA BEREZOWSKI - (SÓCIO-ADMINISTRADOR) | BRUNO PEDREIRA POPPA - (SÓCIO-ADMINISTRADOR) | JOSE EDUARDO TAVANTI JUNIOR - (SÓCIO-ADMINISTRADOR) | LUIZ GUILHERME DUARTE MARTINS COSTA - (SÓCIO-ADMINISTRADOR) | RODOLFO FONTANA BOEIRA DA SILVA - (SÓCIO-ADMINISTRADOR) | ANDRE YUKIO IOCHIDA LACERDA - (SÓCIO-ADMINISTRADOR) | CAINAN GEA - (SÓCIO COM CAPITAL) | GUSTAVO NOGUEIRA FIGUEIREDO - (SÓCIO COM CAPITAL) | JOAO VITOR SILVA RODRIGUES - (SÓCIO COM CAPITAL) | LEONARDO LAVELLI SANTOS - (SÓCIO COM CAPITAL) | GABRIEL TADEU DE FIGUEIREDO BARROS - (SÓCIO COM CAPITAL) | VITOR ATHAYDE DE MORAIS - (SÓCIO COM CAPITAL) | LYGIA HELENA ROSSI DA SILVA - (SÓCIO COM CAPITAL) | ANDRE TUNES DO NASCIMENTO - (SÓCIO COM CAPITAL) | VICTORIA ARISA LINN - (SÓCIO COM CAPITAL) | VITORIA CAROLINA RODRIGUES DE LIMA - (SÓCIO COM CAPITAL) | AMANDA POLLI DE GRANDE - (SÓCIO COM CAPITAL) | LUIZ FERNANDO FESSEL LEVOTO - (SÓCIO COM CAPITAL),"https://tepedinoadvogados.com, http://www.tepedinoadvogados.com/",,(11) 31492300,,(11)31492300,tepedinoadvogados@tepedinoadvogados.com | brunopoppa@tepedinoadvogados.com | cassiamoura@tepedinoadvogados.com | ricardotepedino@tepedinoadvogados.com | josetavanti@tepedinoadvogados.com | ritacorazza@tepedinoadvogados.com | alfredomigliore@tepedinoadvogados.com | kedmamoraes@tepedinoadvogados.com | claudiafigueira@tepedinoadvogados.com | luizcosta@tepedinoadvogados.com | elaineoliveira@tepedinoadvogados.com | lucianegoes@tepedinoadvogados.com | ricar.epedino@tepedinoadvogados.com | aluisioberezowski@tepedinoadvogados.com | ricardofornara@tepedinoadvogados.com
14.380.112/0001-20,Não Informado,"DE LUCA, DERENUSSON, SCHUTTOFF SOCIEDADE DE ADVOGADOS",SAO PAULO,SP,RUA JAMES JOULE,92,CIDADE MONCOES,04576-080,28/09/2011,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 165.028,00",6911701 - SERVIÇOS ADVOCATÍCIOS,GUILHERME BAPTISTA MONTEIRO FILARDI - (SÓCIO-ADMINISTRADOR) | JOAO CLAUDIO DE LUCA JUNIOR - (SÓCIO-ADMINISTRADOR) | ANA LUISA CASTRO CUNHA DERENUSSON - (SÓCIO-ADMINISTRADOR) | SABINE INGRID SCHUTTOFF - (SÓCIO-ADMINISTRADOR) | CLAUDIA DE CASTRO CUNHA DERENUSSON RIEDEL - (SÓCIO-ADMINISTRADOR) | LEILA PIGOZZI ALVES - (SÓCIO-ADMINISTRADOR) | ANA CAROLINA DA SILVA - (SÓCIO COM CAPITAL) | IGOR ESTEVES DEJAVITE - (SÓCIO COM CAPITAL) | RITA DE CASSIA FERNANDES DE GODOY - (SÓCIO COM CAPITAL) | YASMIN ISSA NEVES - (SÓCIO COM CAPITAL) | CAMILA SERRANO SANTANA - (SÓCIO COM CAPITAL) | ANGELO VIEIRA RODRIGUES CHAVES - (SÓCIO COM CAPITAL) | AMANDA LUISA BOGUS - (SÓCIO COM CAPITAL) | ISABELA CUNHA MARQUES - (SÓCIO COM CAPITAL) | GIOVANA BORGES NASSER - (SÓCIO COM CAPITAL) | MILENA MASSA CAVALETTO - (SÓCIO COM CAPITAL) | MARIA ALICE VEGA DEUCHER - (SÓCIO COM CAPITAL) | ARTHUR COSTA VENTURA PINTO - (SÓCIO COM CAPITAL) | GLEICE DOMINGUES DE SOUZA - (SÓCIO COM CAPITAL) | GABRIEL MALDONADO LIMA ORTIZ - (SÓCIO COM CAPITAL) | FABIOLA MEDEIROS DE PAULA - (SÓCIO COM CAPITAL) | RENATO LAMOUNIER MESQUITA STROHMEYER GOMES - (SÓCIO COM CAPITAL),https://ddsa.com.br,https://www.linkedin.com/company/ddsa-de-luca-derenusson-schuttoff-advogados,,(11)991917284 | (11)983670994 | (11)982731332 | (19)995613666 | (11)983624533 | (11)991765837 | (11)995924684 | (11)991504704 | (11)959035146 | (13)981247187 | (11)993003535 | (11)982335335 | (11)999695544 | (11)959322329 | (11)981046621 | (11)983839731 | (11)992024759 | (41)999146206,,johnnyfranca@ddsa.com.br | carolinemarcelino@ddsa.com.br | rafaelacruden@ddsa.com.br | rodrigokencis@ddsa.com.br | robertaandreoli@ddsa.com.br | caiovieira@ddsa.com.br | myllasouza@ddsa.com.br | luisazevedo@ddsa.com.br | camillabrandao@ddsa.com.br | juliataliberti@ddsa.com.br | felipesantos@ddsa.com.br | paulamariozzi@ddsa.com.br | andreavirgilio@ddsa.com.br | comunicaoa@ddsa.com.br | vicentebagnoli@ddsa.com.br | gabrielasantos@ddsa.com.br | gabrielgoncalves@ddsa.com.br | celsodomenico@ddsa.com.br | renataribeiro@ddsa.com.br | leandrobauch@ddsa.com.br | matheusramiro@ddsa.com.br | annegasques@ddsa.com.br | maxamador@ddsa.com.br | isabellamedeiros@ddsa.com.br | susanashimono@ddsa.com.br | marianabarcellos@ddsa.com.br | andressabellini@ddsa.com.br | nadiavieira@ddsa.com.br | fernandolobo@ddsa.com.br | henriquebarbieri@ddsa.com.br | thaistendolini@ddsa.com.br | alineribeiro@ddsa.com.br | marinameyer@ddsa.com.br | paulaponce@ddsa.com.br | leonardohamuche@ddsa.com.br | julianagile@ddsa.com.br | gabrielamaria@ddsa.com.br | felipegodoy@ddsa.com.br | alineapolinario@ddsa.com.br | renanoliveira@ddsa.com.br | marcellefreitas@ddsa.com.br | contato@ddsa.com.br | fernandasantos@ddsalaw.com.br
